student_id,attendance,assignment_score,midterm_score,study_hours,previous_grade,quiz_scores,participation,sleep_hours,risk_label
S362,83.8,97.3,72.2,4.1,68.7,60.2,80.1,6.2,0
S074,75.0,65.0,57.6,1.1,63.7,44.4,22.9,5.8,1
S375,74.7,95.7,83.1,7.1,76.9,74.8,71.6,6.3,0
S156,44.3,47.9,37.2,2.1,45.2,41.7,40.6,6.3,1
S105,52.6,43.4,36.6,2.4,46.8,54.9,64.6,6.2,1
S395,93.5,81.2,71.0,5.0,87.0,70.3,82.8,6.6,0
S378,75.5,72.1,54.6,5.2,68.3,84.5,76.2,7.2,0
S125,63.8,55.6,65.0,2.1,46.7,52.4,28.7,5.2,1
S069,60.4,58.4,60.5,1.8,44.5,43.7,43.0,6.5,1
S451,78.8,68.2,80.0,2.9,75.1,75.4,60.6,7.5,0
S010,63.1,45.3,32.4,1.0,65.0,53.9,34.4,4.5,1
S195,87.1,65.7,83.1,3.9,75.2,79.1,73.6,7.9,0
S407,73.5,55.0,63.9,3.3,69.4,63.2,88.0,8.3,0
S085,42.9,57.3,65.0,2.7,58.7,50.8,36.3,6.1,1
S372,88.2,82.5,61.2,2.3,55.0,79.6,80.2,7.2,0
S389,81.2,85.9,59.1,3.0,81.6,73.8,86.3,7.1,0
S496,87.1,86.2,70.1,5.7,86.0,88.3,84.4,7.0,0
S031,46.0,36.7,32.2,1.2,54.4,45.6,34.8,4.0,1
S317,99.7,85.3,77.5,4.1,58.8,68.1,69.4,6.6,0
S409,92.3,85.6,60.2,5.1,83.6,83.9,57.3,7.6,0
S491,81.1,68.1,90.4,2.8,84.4,79.1,56.9,5.3,0
S492,85.3,70.9,65.6,3.7,58.8,69.6,80.8,6.5,0
S281,77.5,82.1,64.6,3.3,56.2,71.1,96.6,6.8,0
S357,93.5,59.3,81.5,2.0,55.0,64.3,94.3,5.6,0
S077,56.3,59.0,30.5,0.8,43.3,49.6,44.5,6.7,1
S462,77.4,67.4,78.0,2.9,72.8,76.5,67.9,8.9,0
S498,89.4,74.9,73.9,2.4,69.9,87.9,58.3,6.7,0
S212,79.5,82.4,65.9,5.8,70.6,68.7,62.2,5.7,0
S102,48.7,50.4,57.4,0.7,45.8,39.1,7.7,4.4,1
S335,79.3,74.7,72.0,3.5,75.9,64.2,65.6,6.0,0
S476,85.5,76.8,84.7,2.0,55.0,76.8,76.9,7.2,0
S337,74.5,66.9,79.3,5.2,78.8,60.0,61.5,8.2,0
S441,81.8,83.0,77.1,6.2,71.4,86.2,80.8,7.4,0
S174,60.1,39.4,52.0,2.2,43.2,64.2,46.2,6.9,1
S003,64.7,65.0,56.0,1.5,43.5,47.9,47.4,5.3,1
S334,96.9,69.1,68.2,2.9,85.8,68.7,78.0,5.6,0
S410,78.7,77.2,66.4,5.5,82.8,86.4,72.9,6.3,0
S071,60.4,44.0,65.0,1.1,60.5,31.1,56.6,5.4,1
S210,80.3,88.1,65.4,2.6,93.9,68.0,85.3,7.0,0
S064,37.1,40.1,61.9,2.2,50.8,48.2,47.4,4.2,1
S385,79.5,100.0,74.4,5.3,86.6,59.2,56.4,6.9,0
S094,50.1,42.7,42.8,1.9,36.7,44.5,41.9,4.8,1
S486,93.1,100.0,59.6,4.4,73.1,58.6,67.7,5.0,0
S186,95.3,58.8,82.2,3.1,65.8,76.5,58.2,6.1,0
S034,39.1,54.2,36.6,1.8,31.6,53.4,65.0,4.7,1
S078,50.5,65.0,53.6,2.2,49.0,28.7,28.7,5.3,1
S001,62.5,57.9,48.4,0.1,45.7,65.0,30.6,5.3,1
S012,48.0,53.7,65.0,0.8,50.8,52.6,5.0,7.0,1
S416,82.2,75.9,92.9,4.8,84.0,91.4,84.8,6.9,0
S023,56.0,49.8,64.3,1.3,35.8,46.9,41.2,4.6,1
S073,54.5,40.2,40.5,0.7,59.6,36.0,49.6,5.2,1
S183,97.0,74.8,82.5,4.4,74.2,76.5,50.0,7.2,0
S132,56.0,63.3,30.6,1.5,41.0,56.6,60.9,4.8,1
S411,78.0,74.5,77.5,4.8,88.7,69.6,56.5,5.6,0
S194,97.3,86.6,89.1,3.2,68.1,74.2,76.8,8.1,0
S056,69.0,39.2,52.7,1.8,65.0,37.8,24.4,5.7,1
S149,62.8,65.0,31.7,1.2,44.3,65.0,43.4,3.6,1
S019,41.4,33.1,45.4,2.7,47.6,60.2,33.0,4.3,1
S205,79.2,80.1,66.6,6.0,69.1,89.3,63.3,6.9,0
S079,56.4,60.4,58.8,2.6,51.1,63.8,39.0,4.6,1
S495,77.6,66.8,86.8,4.4,79.5,62.4,76.1,5.0,0
S263,64.4,91.1,90.6,4.6,61.0,69.0,56.7,6.2,0
S324,89.7,82.8,64.3,3.6,67.9,79.8,69.8,7.2,0
S484,80.7,80.1,50.7,4.9,84.8,77.7,73.9,5.9,0
S080,25.2,29.8,19.4,1.8,59.4,43.9,44.9,6.1,1
S040,58.0,44.2,35.9,2.5,64.2,43.8,37.1,5.7,1
S452,94.2,73.6,58.9,5.8,86.6,62.6,62.0,6.2,0
S047,48.1,25.6,20.0,2.8,54.2,31.7,41.2,6.2,1
S239,73.5,78.2,60.0,3.5,67.7,52.5,62.0,6.6,0
S392,85.0,71.1,50.7,3.5,72.2,100.0,74.7,7.6,0
S353,93.6,86.7,64.8,6.2,67.3,74.2,96.8,8.3,0
S342,82.7,75.1,66.8,2.5,65.6,79.1,62.5,6.3,0
S278,73.8,89.1,72.3,5.7,77.5,85.2,70.5,5.8,0
S291,80.8,73.7,59.8,4.0,82.1,80.5,56.0,7.6,0
S318,98.6,86.3,96.3,2.0,88.8,73.6,78.0,6.9,0
S305,70.8,85.0,72.1,2.7,70.3,61.6,88.6,6.1,0
S269,83.8,72.9,74.9,4.8,64.7,82.5,91.1,7.7,0
S070,45.3,33.6,44.9,2.3,65.0,65.0,55.8,5.6,1
S456,86.0,77.1,68.5,5.0,76.6,82.6,79.2,6.4,0
S466,87.9,73.1,80.4,2.4,89.2,76.2,66.0,7.4,0
S155,59.4,55.5,34.9,2.5,65.0,31.7,40.7,7.0,1
S083,75.0,39.5,40.2,0.5,56.6,50.9,64.2,5.5,1
S478,88.3,87.4,80.2,2.1,69.9,66.1,77.3,8.4,0
S173,53.8,31.1,34.7,0.5,35.4,24.5,49.5,4.3,1
S322,72.0,72.9,77.1,7.6,68.1,78.1,81.8,7.3,0
S091,56.5,33.0,49.4,1.6,57.2,63.7,35.5,3.9,1
S181,74.4,72.8,62.2,2.8,84.5,50.0,70.0,5.9,0
S415,71.3,80.6,89.1,4.7,70.1,78.7,67.2,5.5,0
S313,76.7,82.9,68.8,4.7,90.3,67.4,80.0,6.1,0
S279,82.0,74.0,74.8,2.4,64.0,72.7,65.3,5.0,0
S382,83.2,80.0,82.6,4.5,69.8,51.7,79.7,7.2,0
S473,75.2,88.6,61.6,4.3,61.6,56.5,74.6,7.3,0
S363,78.3,81.4,60.6,2.9,87.9,88.7,62.3,7.0,0
S325,94.3,88.1,77.9,5.1,68.6,62.0,67.7,6.3,0
S432,83.7,61.2,79.3,4.6,83.3,72.3,62.6,8.5,0
S348,84.9,91.0,80.9,3.3,55.0,53.2,60.4,6.5,0
S087,68.7,47.3,65.0,1.5,62.0,62.3,57.8,6.5,1
S076,67.3,32.9,63.2,2.1,33.2,41.9,22.8,4.7,1
S439,75.9,68.6,78.0,2.8,63.4,65.7,76.7,6.7,0
S016,46.6,42.6,38.4,2.2,65.0,55.7,23.2,5.0,1
S250,74.2,75.2,72.3,3.2,69.1,77.8,50.7,5.5,0
S434,71.9,83.6,78.4,4.4,85.4,80.8,55.8,7.8,0
S020,33.8,50.1,33.2,0.0,51.3,63.0,45.2,4.7,1
S323,85.0,71.9,72.2,4.4,65.6,58.8,71.4,7.0,0
S333,74.0,62.7,76.3,4.7,71.7,61.0,71.3,8.0,0
S057,42.4,50.6,29.1,1.2,57.9,65.0,49.2,5.3,1
S302,100.0,92.8,52.7,5.2,86.5,68.3,83.7,5.4,0
S230,87.7,68.1,57.7,3.6,73.3,69.5,77.2,5.0,0
S332,91.1,91.2,89.8,2.9,66.8,77.2,75.9,6.5,0
S133,39.1,40.9,21.5,1.5,40.0,53.3,53.8,6.0,1
S138,50.2,57.9,28.9,1.5,40.0,65.0,36.6,5.6,1
S424,93.9,76.9,79.8,5.7,72.1,79.2,76.0,5.4,0
S336,81.8,77.8,57.0,3.6,68.7,85.3,86.6,6.6,0
S026,56.7,52.3,33.3,1.6,49.8,49.8,32.6,5.9,1
S465,79.4,83.3,64.1,4.6,98.1,68.4,77.5,6.4,0
S282,89.0,77.3,67.5,6.1,73.2,71.6,85.1,6.7,0
S248,80.7,67.0,71.8,3.7,72.2,77.8,77.1,7.2,0
S238,79.9,67.5,72.5,5.0,83.0,84.2,95.9,6.8,0
S118,37.5,40.9,54.6,1.3,62.7,41.8,48.5,6.0,1
S043,53.3,45.2,25.5,0.7,44.5,47.4,50.9,4.4,1
S221,75.5,75.4,71.1,5.3,71.0,59.3,55.4,8.0,0
S177,87.4,69.6,61.6,3.6,84.9,73.9,67.9,7.1,0
S321,86.7,63.9,64.1,4.2,63.0,62.5,95.2,6.6,0
S154,58.5,55.5,51.9,2.2,65.0,53.0,48.1,4.8,1
S232,89.5,74.2,61.2,2.8,76.0,73.4,80.2,6.2,0
S228,84.4,74.6,61.6,3.9,69.3,77.5,74.3,8.1,0
S418,81.2,73.5,73.0,4.1,80.4,68.2,99.6,7.5,0
S204,79.8,56.7,70.3,3.7,66.6,64.2,78.1,6.2,0
S127,40.1,41.3,52.1,2.4,65.0,57.0,14.6,3.3,1
S330,79.7,66.9,60.5,2.6,86.2,77.2,66.0,7.5,0
S032,75.0,54.2,35.6,1.1,40.3,27.3,34.8,7.0,1
S114,75.0,51.4,47.0,0.5,54.4,42.1,15.3,5.0,1
S471,100.0,75.6,85.2,3.2,74.8,74.0,58.6,6.6,0
S272,100.0,75.8,52.8,6.8,79.7,65.9,70.7,6.5,0
S141,58.4,48.3,43.9,1.6,51.4,47.6,41.6,5.3,1
S058,50.4,48.5,42.0,2.0,54.2,26.2,24.2,6.3,1
S193,84.7,75.7,70.4,2.2,82.9,66.1,74.1,8.2,0
S025,46.8,34.3,65.0,1.0,54.1,34.4,54.9,3.6,1
S018,59.7,50.6,44.2,1.9,53.8,58.9,57.4,4.8,1
S266,76.5,66.1,74.0,5.1,80.0,74.5,73.7,7.0,0
S067,53.9,46.6,65.0,1.1,51.6,56.3,65.0,7.0,1
S209,76.2,91.1,50.0,5.0,65.2,60.0,84.3,7.4,0
S480,86.1,70.1,86.5,3.7,79.6,80.3,73.8,6.0,0
S095,49.1,49.6,25.7,1.7,39.0,26.4,37.4,5.3,1
S254,73.1,59.9,80.6,3.1,73.4,82.7,77.3,6.6,0
S267,100.0,55.0,72.6,3.1,68.4,70.1,64.6,6.0,0
S024,33.6,48.7,57.4,1.8,60.9,60.7,20.8,5.8,1
S223,87.9,68.8,59.1,3.7,62.5,74.0,89.9,5.4,0
S262,67.8,76.5,73.2,4.9,66.3,69.2,78.9,7.0,0
S427,85.3,86.2,60.0,5.7,81.8,83.7,63.4,8.0,0
S006,51.5,55.5,30.0,2.0,59.3,65.0,29.9,4.8,1
S117,54.5,42.1,52.6,2.8,55.2,18.5,60.8,5.5,1
S046,44.2,65.0,37.4,1.5,43.3,59.0,38.8,6.8,1
S017,39.8,58.3,47.1,0.6,53.4,51.6,20.6,5.3,1
S463,84.0,67.3,72.6,4.7,74.9,92.9,76.4,7.0,0
S358,71.8,63.7,50.0,4.0,67.9,80.3,70.8,7.6,0
S004,75.0,44.8,41.8,1.7,35.1,44.8,43.9,6.7,1
S219,69.0,76.2,58.3,4.5,79.6,74.3,71.1,6.8,0
S406,86.8,88.7,51.3,3.8,82.7,73.5,97.5,6.7,0
S061,47.8,55.6,54.0,1.7,45.1,38.5,37.1,3.9,1
S111,26.2,24.6,65.0,0.2,49.8,29.9,5.0,5.1,1
S319,77.4,64.1,55.6,3.7,62.3,71.0,65.6,6.6,0
S429,78.5,67.3,75.0,3.5,89.2,72.8,72.0,5.8,0
S030,50.6,31.5,32.7,1.8,42.7,47.5,52.8,7.0,1
S438,60.8,80.2,74.8,5.1,68.7,69.9,69.9,5.7,0
S472,72.0,77.8,66.3,4.7,76.6,63.0,75.1,5.9,0
S027,37.7,54.7,56.2,1.4,52.2,39.9,16.7,6.5,1
S008,66.5,35.1,40.0,1.4,65.0,38.6,57.6,5.4,1
S454,92.0,71.9,80.3,5.2,79.4,61.7,53.5,7.6,0
S109,58.9,33.1,36.2,1.2,65.0,44.4,54.7,7.0,1
S038,25.6,59.4,65.0,2.2,63.8,48.2,43.6,6.1,1
S158,62.1,48.9,31.9,1.1,57.7,50.2,30.1,7.0,1
S490,76.6,57.3,64.4,4.7,68.2,90.0,86.3,6.2,0
S119,72.1,58.2,36.6,0.3,53.0,36.1,48.9,6.9,1
S115,52.1,40.5,42.4,0.5,64.4,45.3,55.3,5.7,1
S176,71.5,85.9,81.9,5.7,77.9,68.1,65.8,7.1,0
S374,82.2,77.4,69.7,3.9,71.1,79.0,58.7,5.5,0
S182,67.8,71.5,66.3,2.9,75.4,65.4,72.9,6.6,0
S145,58.9,46.4,65.0,2.4,54.0,50.5,16.1,4.4,1
S370,60.0,70.3,91.4,3.7,79.1,79.2,88.5,8.0,0
S391,100.0,78.1,86.3,5.5,92.5,72.1,72.6,7.7,0
S196,87.4,77.4,83.6,2.3,93.5,51.5,71.1,6.7,0
S405,90.5,69.0,77.6,3.3,83.9,75.7,59.2,8.6,0
S276,89.8,79.4,69.9,4.9,75.8,79.4,66.3,7.5,0
S455,77.7,56.1,82.2,3.2,76.0,83.0,64.4,6.4,0
S142,74.6,56.2,64.7,1.3,60.1,36.5,20.0,5.5,1
S366,71.3,69.6,73.3,3.5,75.4,89.8,76.0,6.3,0
S068,70.1,54.1,45.6,1.9,65.0,53.5,39.1,5.5,1
S211,84.8,91.4,57.4,5.0,68.7,75.2,65.2,5.6,0
S169,51.3,41.9,45.4,2.0,59.9,44.5,27.5,5.7,1
S494,89.1,76.5,58.6,3.8,69.5,84.3,70.3,7.8,0
S376,80.2,65.8,70.5,2.7,73.5,62.1,65.6,8.2,0
S401,92.8,57.3,59.0,2.0,76.5,78.0,75.4,6.4,0
S273,94.1,72.8,62.1,3.1,56.1,76.9,62.3,6.2,0
S110,53.9,65.0,27.2,0.7,41.3,45.0,35.1,5.7,1
S249,82.1,85.8,68.8,3.1,58.5,70.7,77.0,8.4,0
S146,66.7,49.2,51.5,2.5,57.9,51.8,46.6,5.3,1
S093,44.5,30.8,15.1,2.1,55.3,65.0,37.7,5.1,1
S153,44.8,57.5,24.4,2.9,44.4,46.6,41.8,6.7,1
S368,86.4,68.8,95.7,4.8,81.7,66.8,82.6,8.7,0
S468,90.7,55.0,77.9,2.5,74.7,62.2,60.1,5.1,0
S084,47.2,53.3,54.0,0.1,59.3,52.4,46.8,6.8,1
S246,94.0,67.5,100.0,4.3,71.9,84.8,64.7,6.8,0
S166,61.2,38.1,54.6,1.2,47.3,65.0,58.7,6.1,1
S164,42.7,53.0,31.3,2.1,65.0,47.9,53.4,5.5,1
S200,71.6,85.0,64.6,4.1,93.6,84.0,51.8,6.8,0
S229,100.0,70.7,85.5,5.3,72.5,74.3,70.8,5.8,0
S075,15.7,52.9,53.0,1.8,59.5,48.2,64.5,5.9,1
S479,93.1,77.1,55.6,4.1,92.9,61.1,62.1,7.6,0
